round,date,n1,n2,n3,n4,n5,n6,bonus
937,2020-11-14,2,10,13,22,29,40,26
938,2020-11-21,4,8,10,16,31,36,9
939,2020-11-28,4,11,28,39,42,45,6
940,2020-12-05,3,15,20,22,24,41,11
941,2020-12-12,12,14,25,27,39,40,35
942,2020-12-19,10,12,18,35,42,43,39
943,2020-12-26,1,8,13,36,44,45,39
944,2021-01-02,2,13,16,19,32,33,42
945,2021-01-09,9,10,15,30,33,37,26
946,2021-01-16,9,18,19,30,34,40,20
947,2021-01-23,3,8,17,20,27,35,26
948,2021-01-30,13,18,30,31,38,41,5
949,2021-02-06,14,21,35,36,40,44,30
950,2021-02-13,3,4,15,22,28,40,10
951,2021-02-20,2,12,30,31,39,43,38
952,2021-02-27,4,12,22,24,33,41,38
953,2021-03-06,7,9,22,27,37,42,34
954,2021-03-13,1,9,26,28,30,41,32
955,2021-03-20,4,9,23,26,29,33,8
956,2021-03-27,10,11,20,21,25,41,40
957,2021-04-03,4,15,24,35,36,40,1
958,2021-04-10,2,9,10,16,35,37,1
959,2021-04-17,1,14,15,24,40,41,35
960,2021-04-24,2,18,24,30,32,45,14
961,2021-05-01,11,20,29,31,33,42,43
962,2021-05-08,1,18,28,31,34,43,40
963,2021-05-15,6,12,19,23,34,42,35
964,2021-05-22,6,21,36,38,39,43,30
965,2021-05-29,2,13,25,28,29,36,34
966,2021-06-05,1,21,25,29,34,37,36
967,2021-06-12,1,6,13,37,38,40,9
968,2021-06-19,2,5,12,14,24,39,33
969,2021-06-26,3,9,10,29,40,45,7
970,2021-07-03,9,11,16,21,28,36,5
971,2021-07-10,2,6,17,18,21,26,7
972,2021-07-17,3,6,17,23,37,39,26
973,2021-07-24,22,26,31,37,41,42,24
974,2021-07-31,1,2,11,16,39,44,32
975,2021-08-07,7,8,9,17,22,24,5
976,2021-08-14,4,12,14,25,35,37,2
977,2021-08-21,2,9,10,14,22,44,16
978,2021-08-28,1,7,15,32,34,42,8
979,2021-09-04,7,11,16,21,27,33,24
980,2021-09-11,3,13,16,23,24,35,14
981,2021-09-18,27,36,37,41,43,45,32
982,2021-09-25,5,7,13,20,21,44,33
983,2021-10-02,13,23,26,31,35,43,15
984,2021-10-09,3,10,23,35,36,37,18
985,2021-10-16,17,21,23,30,34,44,19
986,2021-10-23,7,10,16,28,41,42,40
987,2021-10-30,2,4,15,23,29,38,7
988,2021-11-06,2,13,20,30,31,41,27
989,2021-11-13,17,18,21,27,29,33,26
990,2021-11-20,2,4,25,26,36,37,28
991,2021-11-27,13,18,25,31,33,44,38
992,2021-12-04,12,20,26,33,44,45,24
993,2021-12-11,6,14,16,18,24,42,44
994,2021-12-18,1,3,8,24,27,35,28
995,2021-12-25,1,4,13,29,38,39,7
996,2022-01-01,6,11,15,24,32,39,28
997,2022-01-08,4,7,14,16,24,44,20
998,2022-01-15,13,17,18,20,42,45,41
999,2022-01-22,1,3,9,14,18,28,34
1000,2022-01-29,2,8,19,22,32,42,39
1001,2022-02-05,6,10,12,14,20,42,15
1002,2022-02-12,17,25,33,35,38,45,15
1003,2022-02-19,1,4,29,39,43,45,31
1004,2022-02-26,7,15,30,37,39,44,18
1005,2022-03-05,8,13,18,24,27,29,17
1006,2022-03-12,8,11,15,16,17,37,36
1007,2022-03-19,8,11,16,19,21,25,40
1008,2022-03-26,9,11,30,31,41,44,33
1009,2022-04-02,15,23,29,34,40,44,20
1010,2022-04-09,9,12,15,25,34,36,3
1011,2022-04-16,1,9,12,26,35,38,42
1012,2022-04-23,5,11,18,20,35,45,3
1013,2022-04-30,21,22,26,34,36,41,32
1014,2022-05-07,3,11,14,18,26,27,21
1015,2022-05-14,14,23,31,33,37,40,44
1016,2022-05-21,15,26,28,34,41,42,44
1017,2022-05-28,12,18,22,23,30,34,32
1018,2022-06-04,3,19,21,25,37,45,35
1019,2022-06-11,1,4,13,17,34,39,6
1020,2022-06-18,12,27,29,38,41,45,6
1021,2022-06-25,12,15,17,24,29,45,16
1022,2022-07-02,5,6,11,29,42,45,28
1023,2022-07-09,10,14,16,18,29,35,25
1024,2022-07-16,9,18,20,22,38,44,10
1025,2022-07-23,8,9,20,25,29,33,7
1026,2022-07-30,5,12,13,31,32,41,34
1027,2022-08-06,14,16,27,35,39,45,5
1028,2022-08-13,5,7,12,13,18,35,23
1029,2022-08-20,12,30,32,37,39,41,24
1030,2022-08-27,2,5,11,17,24,29,9
1031,2022-09-03,6,7,22,32,35,36,19
1032,2022-09-10,1,6,12,19,36,42,28
1033,2022-09-17,3,11,15,20,35,44,10
1034,2022-09-24,26,31,32,33,38,40,11
1035,2022-10-01,9,14,34,35,41,42,2
1036,2022-10-08,2,5,22,32,34,45,39
1037,2022-10-15,2,14,15,22,27,33,31
1038,2022-10-22,7,16,24,27,37,44,2
1039,2022-10-29,2,3,6,19,36,39,26
1040,2022-11-05,8,16,26,29,31,36,11
1041,2022-11-12,6,7,9,11,17,18,45
1042,2022-11-19,5,14,15,23,34,43,4
1043,2022-11-26,3,5,12,22,26,31,19
1044,2022-12-03,12,17,20,26,28,36,4
1045,2022-12-10,6,14,15,19,21,41,37
1046,2022-12-17,7,16,25,29,35,36,28
1047,2022-12-24,2,20,33,40,42,44,32
1048,2022-12-31,6,12,17,21,32,39,30
1049,2023-01-07,3,5,13,20,21,37,17
1050,2023-01-14,6,12,31,35,38,43,17
1051,2023-01-21,21,26,30,32,33,35,44
1052,2023-01-28,5,17,26,27,35,38,1
1053,2023-02-04,22,26,29,30,34,45,15
1054,2023-02-11,14,19,27,28,30,45,33
1055,2023-02-18,4,7,12,14,22,33,31
1056,2023-02-25,13,20,24,32,36,45,29
1057,2023-03-04,8,13,19,27,40,45,12
1058,2023-03-11,11,23,25,30,32,40,42
1059,2023-03-18,7,10,22,25,34,40,27
1060,2023-03-25,3,10,24,33,38,45,36
1061,2023-04-01,4,24,27,35,37,45,15
1062,2023-04-08,20,31,32,40,41,45,12
1063,2023-04-15,3,6,22,23,24,38,30
1064,2023-04-22,3,6,9,18,22,35,14
1065,2023-04-29,3,18,19,23,32,45,24
1066,2023-05-06,6,11,16,19,21,32,45
1067,2023-05-13,7,10,19,23,28,33,18
1068,2023-05-20,4,7,19,26,33,35,3
1069,2023-05-27,1,10,18,22,28,31,44
1070,2023-06-03,3,6,14,22,30,41,36
1071,2023-06-10,1,2,11,21,30,35,39
1072,2023-06-17,16,18,20,23,32,43,27
1073,2023-06-24,6,18,28,30,32,38,15
1074,2023-07-01,1,6,20,27,28,41,15
1075,2023-07-08,1,23,24,35,44,45,10
1076,2023-07-15,3,7,9,33,36,37,10
1077,2023-07-22,4,8,17,30,40,43,34
1078,2023-07-29,6,10,11,14,36,38,43
1079,2023-08-05,4,8,18,24,37,45,6
1080,2023-08-12,13,16,23,31,36,44,38
1081,2023-08-19,1,9,16,23,24,38,17
1082,2023-08-26,21,26,27,32,34,42,31
1083,2023-09-02,3,7,14,15,22,38,17
1084,2023-09-09,8,12,13,29,33,42,5
1085,2023-09-16,4,7,17,18,38,44,36
1086,2023-09-23,11,16,25,27,35,36,37
1087,2023-09-30,13,14,18,21,34,44,16
1088,2023-10-07,11,21,22,30,39,44,31
1089,2023-10-14,4,18,31,37,42,43,40
1090,2023-10-21,12,19,21,29,40,45,1
1091,2023-10-28,6,20,23,24,28,30,44
1092,2023-11-04,7,18,19,26,33,45,37
1093,2023-11-11,10,17,22,30,35,43,44
1094,2023-11-18,6,7,15,22,26,40,41
1095,2023-11-25,8,14,28,29,34,40,12
1096,2023-12-02,1,12,16,19,23,43,34
1097,2023-12-09,14,33,34,35,37,40,4
1098,2023-12-16,12,16,21,24,41,43,15
1099,2023-12-23,3,20,28,38,40,43,4
1100,2023-12-30,17,26,29,30,31,43,12
1101,2024-01-06,6,7,13,28,36,42,41
1102,2024-01-13,13,14,22,26,37,38,20
1103,2024-01-20,10,12,29,31,40,44,2
1104,2024-01-27,1,7,21,30,35,38,2
1105,2024-02-03,6,16,34,37,39,40,11
1106,2024-02-10,1,3,4,29,42,45,36
1107,2024-02-17,6,14,30,31,40,41,29
1108,2024-02-24,7,19,26,37,39,44,27
1109,2024-03-02,10,12,13,19,33,40,2
1110,2024-03-09,3,7,11,20,22,41,24
1111,2024-03-16,3,13,30,33,43,45,4
1112,2024-03-23,16,20,26,36,42,44,24
1113,2024-03-30,11,13,20,21,32,44,8
1114,2024-04-06,10,16,19,32,33,38,3
1115,2024-04-13,7,12,23,32,34,36,8
1116,2024-04-20,15,16,17,25,30,31,32
1117,2024-04-27,3,4,9,30,33,36,7
1118,2024-05-04,11,13,14,15,16,45,3
1119,2024-05-11,1,9,12,13,20,45,3
1120,2024-05-18,2,19,26,31,38,41,34
1121,2024-05-25,6,24,31,32,38,44,8
1122,2024-06-01,3,6,21,30,34,35,22
1123,2024-06-08,13,19,21,24,34,35,26
1124,2024-06-15,3,8,17,30,33,34,28
1125,2024-06-22,6,14,25,33,40,44,30
1126,2024-06-29,4,5,9,11,37,40,7
1127,2024-07-06,10,15,24,30,31,37,32
1128,2024-07-13,1,5,8,16,28,33,45
1129,2024-07-20,5,10,11,17,28,34,22
1130,2024-07-27,15,19,21,25,27,28,40
1131,2024-08-03,1,2,6,14,27,38,33
1132,2024-08-10,6,7,19,28,34,41,5
1133,2024-08-17,13,14,20,28,29,34,23
1134,2024-08-24,3,7,9,13,19,24,23
1135,2024-08-31,1,6,13,19,21,33,4
1136,2024-09-07,21,33,35,38,42,44,1
1137,2024-09-14,4,9,12,15,33,45,26
1138,2024-09-21,14,16,19,20,29,34,35
1139,2024-09-28,5,12,15,30,37,40,18
1140,2024-10-05,7,10,22,29,31,38,15
1141,2024-10-12,7,11,12,21,26,35,20
1142,2024-10-19,2,8,28,30,37,41,22
1143,2024-10-26,10,16,17,27,28,36,6
1144,2024-11-02,3,4,12,15,26,34,6
1145,2024-11-09,2,11,31,33,37,44,32
1146,2024-11-16,6,11,17,19,40,43,28
1147,2024-11-23,7,11,24,26,27,37,32
1148,2024-11-30,3,6,13,15,16,22,32
1149,2024-12-07,8,15,19,21,32,36,38
1150,2024-12-14,8,9,18,35,39,45,25
1151,2024-12-21,2,3,9,15,27,29,8
1152,2024-12-28,30,31,32,35,36,37,5
1153,2025-01-04,1,9,10,13,35,44,5
1154,2025-01-11,4,8,22,26,32,38,27
1155,2025-01-18,10,16,19,27,37,38,13
1156,2025-01-25,30,31,34,39,41,45,7
1157,2025-02-01,5,7,12,20,25,26,28
1158,2025-02-08,21,25,27,32,37,38,20
1159,2025-02-15,3,9,27,28,38,39,7
1160,2025-02-22,7,13,18,36,39,45,19
1161,2025-03-01,2,12,20,24,34,42,37
1162,2025-03-08,20,21,22,25,28,29,6
1163,2025-03-15,2,13,15,16,33,43,4
1164,2025-03-22,17,18,23,25,38,39,22
1165,2025-03-29,6,7,27,29,38,45,17
1166,2025-04-05,14,23,25,27,29,42,16
1167,2025-04-12,8,23,31,35,39,40,24
1168,2025-04-19,9,21,24,30,33,37,29
1169,2025-04-26,5,12,24,26,39,42,20
1170,2025-05-03,3,13,28,34,38,42,25
1171,2025-05-10,3,6,7,11,12,17,19
1172,2025-05-17,7,9,24,40,42,44,45
1173,2025-05-24,1,5,18,20,30,35,3
1174,2025-05-31,8,11,14,17,36,39,22
1175,2025-06-07,3,4,6,8,32,42,31
1176,2025-06-14,7,9,11,21,30,35,29
1177,2025-06-21,3,7,15,16,19,43,21
1178,2025-06-28,5,6,11,27,43,44,17
1179,2025-07-05,3,16,18,24,40,44,21
1180,2025-07-12,6,12,18,37,40,41,3
1181,2025-07-19,8,10,14,20,33,41,28
1182,2025-07-26,1,13,21,25,28,31,22
1183,2025-08-02,4,15,17,23,27,36,31
1184,2025-08-09,14,16,23,25,31,37,42
1185,2025-08-16,6,17,22,28,29,32,38
1186,2025-08-23,2,8,13,16,23,28,35
1187,2025-08-30,5,13,26,29,37,40,42
1188,2025-09-06,3,4,12,19,22,27,9
1189,2025-09-13,9,19,29,35,37,38,31
1190,2025-09-20,7,9,19,23,26,45,33
1191,2025-09-27,1,4,11,12,20,41,2
1192,2025-10-04,10,16,23,36,39,40,11
1193,2025-10-11,6,9,16,19,24,28,17
1194,2025-10-18,3,13,15,24,33,37,2
1195,2025-10-25,3,15,27,33,34,36,37
1196,2025-11-01,8,12,15,29,40,45,14
1197,2025-11-08,1,5,7,26,28,43,30
1198,2025-11-15,26,30,33,38,39,41,21
1199,2025-11-22,16,24,25,30,31,32,7
1200,2025-11-29,1,2,4,16,20,32,45
1201,2025-12-06,7,9,24,27,35,36,37
