round,rank,combination,final_score,number_score,sum,sum_pattern_score,gap_sum,gap_sum_pattern_score,gap_bucket_score,odd_count,low_count,used_zones,unique_last_digits,ac,carryover_count,gap_pattern
1236,1,10 15 16 26 28 41,0.7838761916880811,0.5042679832020589,136,0.98,48,0.8736842105263158,0.69,2,3,4,5,9,1,0:1/1-2:0/3-5:1/6-10:3/11-16:0/17+:1
1236,2,3 10 15 27 30 44,0.7750011966046508,0.4546010426452573,129,0.95,48,0.8736842105263158,0.7966666666666666,3,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:2/11-16:1/17+:1
1236,3,6 10 16 28 29 41,0.7721967373782693,0.44084179724258715,130,0.96,45,0.9210526315789473,0.69,2,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:3/11-16:0/17+:1
1236,4,3 15 16 27 30 45,0.767962531662973,0.3684656504019323,136,0.98,42,0.968421052631579,0.7,4,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:2/11-16:2/17+:0
1236,5,10 15 17 28 30 34,0.7670804536514269,0.4022644921636385,134,1.0,45,0.9210526315789473,0.69,2,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:3/11-16:0/17+:1
1236,6,6 16 17 23 28 44,0.7503637014881464,0.39393712967283895,134,1.0,48,0.8736842105263158,0.69,2,3,4,5,9,1,0:1/1-2:0/3-5:1/6-10:3/11-16:0/17+:1
1236,7,10 15 16 26 29 42,0.7603663029160157,0.41533432746196497,138,0.96,46,0.9052631578947369,0.69,2,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:3/11-16:0/17+:1
1236,8,3 5 15 28 41 44,0.7582680637488501,0.3887796812136088,136,0.98,47,0.8894736842105263,0.74,4,3,4,5,9,1,0:1/1-2:0/3-5:2/6-10:2/11-16:0/17+:1
1236,9,3 6 17 23 41 44,0.7381947198222527,0.3275231697558509,134,1.0,48,0.8736842105263158,0.69,4,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:3/11-16:0/17+:1
1236,10,6 10 16 27 29 42,0.7528761127796154,0.3966206922948072,130,0.96,48,0.8736842105263158,0.7966666666666666,2,3,4,5,9,1,0:1/1-2:0/3-5:1/6-10:2/11-16:1/17+:1
1236,11,3 15 26 27 30 33,0.7425603642073424,0.33487826418052163,134,1.0,44,0.9368421052631579,0.7,4,2,4,5,8,1,0:1/1-2:0/3-5:1/6-10:2/11-16:2/17+:0
1236,12,3 6 10 30 34 45,0.7402435990843415,0.3489672418889293,128,0.9400000000000001,47,0.8894736842105263,0.7966666666666666,2,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:2/11-16:1/17+:1
1236,13,5 15 16 28 29 44,0.760676944474284,0.42894147755594303,137,0.97,48,0.8736842105263158,0.69,3,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:3/11-16:0/17+:1
1236,14,3 15 17 26 28 45,0.7537630620351135,0.2924145787410453,134,1.0,39,0.9842105263157894,0.75,4,3,4,5,8,1,0:1/1-2:0/3-5:2/6-10:2/11-16:1/17+:0
1236,15,6 10 17 29 30 42,0.7413026090138907,0.3264473020532381,134,1.0,45,0.9210526315789473,0.69,2,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:3/11-16:0/17+:1
1236,16,6 16 23 27 28 34,0.7366407834451829,0.40305244076083785,134,1.0,49,0.7778481012658228,0.7966666666666666,2,2,4,5,8,1,0:1/1-2:0/3-5:1/6-10:2/11-16:1/17+:1
1236,17,3 5 15 30 41 42,0.7426160712098502,0.3297686304933667,136,0.98,47,0.8894736842105263,0.74,4,3,4,5,8,1,0:1/1-2:0/3-5:2/6-10:2/11-16:0/17+:1
1236,18,3 6 16 32 34 45,0.717083737998002,0.23646919844613543,136,0.98,42,0.968421052631579,0.7,2,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:2/11-16:2/17+:0
1236,19,6 16 26 27 28 33,0.7321771932455403,0.3654177330840919,136,0.98,45,0.9210526315789473,0.7,2,2,4,4,8,1,0:1/1-2:0/3-5:1/6-10:2/11-16:2/17+:0
1236,20,3 6 17 32 33 44,0.7011515886666442,0.21159135985545463,135,0.99,45,0.9210526315789473,0.7,3,3,4,5,8,1,0:1/1-2:0/3-5:1/6-10:2/11-16:2/17+:0
