round,n1,n2,n3,n4,n5,n6,
1024,9,18,20,22,38,44,200
1025,8,9,20,25,29,33,199
1026,5,12,13,31,32,41,198
1027,14,16,27,35,39,45,197
1028,5,7,12,13,18,35,196
1029,12,30,32,37,39,41,195
1030,2,5,11,17,24,29,194
1031,6,7,22,32,35,36,193
1032,1,6,12,19,36,42,192
1033,3,11,15,20,35,44,191
1034,26,31,32,33,38,40,190
1035,9,14,34,35,41,42,189
1036,2,5,22,32,34,45,188
1037,2,14,15,22,27,33,187
1038,7,16,24,27,37,44,186
1039,2,3,6,19,36,39,185
1040,8,16,26,29,31,36,184
1041,6,7,9,11,17,18,183
1042,5,14,15,23,34,43,182
1043,3,5,12,22,26,31,181
1044,12,17,20,26,28,36,180
1045,6,14,15,19,21,41,179
1046,7,16,25,29,35,36,178
1047,2,20,33,40,42,44,177
1048,6,12,17,21,32,39,176
1049,3,5,13,20,21,37,175
1050,6,12,31,35,38,43,174
1051,21,26,30,32,33,35,173
1052,5,17,26,27,35,38,172
1053,22,26,29,30,34,45,171
1054,14,19,27,28,30,45,170
1055,4,7,12,14,22,33,169
1056,13,20,24,32,36,45,168
1057,8,13,19,27,40,45,167
1058,11,23,25,30,32,40,166
1059,7,10,22,25,34,40,165
1060,3,10,24,33,38,45,164
1061,4,24,27,35,37,45,163
1062,20,31,32,40,41,45,162
1063,3,6,22,23,24,38,161
1064,3,6,9,18,22,35,160
1065,3,18,19,23,32,45,159
1066,6,11,16,19,21,32,158
1067,7,10,19,23,28,33,157
1068,4,7,19,26,33,35,156
1069,1,10,18,22,28,31,155
1070,3,6,14,22,30,41,154
1071,1,2,11,21,30,35,153
1072,16,18,20,23,32,43,152
1073,6,18,28,30,32,38,151
1074,1,6,20,27,28,41,150
1075,1,23,24,35,44,45,149
1076,3,7,9,33,36,37,148
1077,4,8,17,30,40,43,147
1078,6,10,11,14,36,38,146
1079,4,8,18,24,37,45,145
1080,13,16,23,31,36,44,144
1081,1,9,16,23,24,38,143
1082,21,26,27,32,34,42,142
1083,3,7,14,15,22,38,141
1084,8,12,13,29,33,42,140
1085,4,7,17,18,38,44,139
1086,11,16,25,27,35,36,138
1087,13,14,18,21,34,44,137
1088,11,21,22,30,39,44,136
1089,4,18,31,37,42,43,135
1090,12,19,21,29,40,45,134
1091,6,20,23,24,28,30,133
1092,7,18,19,26,33,45,132
1093,10,17,22,30,35,43,131
1094,6,7,15,22,26,40,130
1095,8,14,28,29,34,40,129
1096,1,12,16,19,23,43,128
1097,14,33,34,35,37,40,127
1098,12,16,21,24,41,43,126
1099,3,20,28,38,40,43,125
1100,17,26,29,30,31,43,124
1101,6,7,13,28,36,42,123
1102,13,14,22,26,37,38,122
1103,10,12,29,31,40,44,121
1104,1,7,21,30,35,38,120
1105,6,16,34,37,39,40,119
1106,1,3,4,29,42,45,118
1107,6,14,30,31,40,41,117
1108,7,19,26,37,39,44,116
1109,10,12,13,19,33,40,115
1110,3,7,11,20,22,41,114
1111,3,13,30,33,43,45,113
1112,16,20,26,36,42,44,112
1113,11,13,20,21,32,44,111
1114,10,16,19,32,33,38,110
1115,7,12,23,32,34,36,109
1116,15,16,17,25,30,31,108
1117,3,4,9,30,33,36,107
1118,11,13,14,15,16,45,106
1119,1,9,12,13,20,45,105
1120,2,19,26,31,38,41,104
1121,6,24,31,32,38,44,103
1122,3,6,21,30,34,35,102
1123,13,19,21,24,34,35,101
1124,3,8,17,30,33,34,100
1125,6,14,25,33,40,44,99
1126,4,5,9,11,37,40,98
1127,10,15,24,30,31,37,97
1128,1,5,8,16,28,33,96
1129,5,10,11,17,28,34,95
1130,15,19,21,25,27,28,94
1131,1,2,6,14,27,38,93
1132,6,7,19,28,34,41,92
1133,13,14,20,28,29,34,91
1134,3,7,9,13,19,24,90
1135,1,6,13,19,21,33,89
1136,21,33,35,38,42,44,88
1137,4,9,12,15,33,45,87
1138,14,16,19,20,29,34,86
1139,5,12,15,30,37,40,85
1140,7,10,22,29,31,38,84
1141,7,11,12,21,26,35,83
1142,2,8,28,30,37,41,82
1143,10,16,17,27,28,36,81
1144,3,4,12,15,26,34,80
1145,2,11,31,33,37,44,79
1146,6,11,17,19,40,43,78
1147,7,11,24,26,27,37,77
1148,3,6,13,15,16,22,76
1149,8,15,19,21,32,36,75
1150,8,9,18,35,39,45,74
1151,2,3,9,15,27,29,73
1152,30,31,32,35,36,37,72
1153,1,9,10,13,35,44,71
1154,4,8,22,26,32,38,70
1155,10,16,19,27,37,38,69
1156,30,31,34,39,41,45,68
1157,5,7,12,20,25,26,67
1158,21,25,27,32,37,38,66
1159,3,9,27,28,38,39,65
1160,7,13,18,36,39,45,64
1161,2,12,20,24,34,42,63
1162,20,21,22,25,28,29,62
1163,2,13,15,16,33,43,61
1164,17,18,23,25,38,39,60
1165,6,7,27,29,38,45,59
1166,14,23,25,27,29,42,58
1167,8,23,31,35,39,40,57
1168,9,21,24,30,33,37,56
1169,5,12,24,26,39,42,55
1170,3,13,28,34,38,42,54
1171,3,6,7,11,12,17,53
1172,7,9,24,40,42,44,52
1173,1,5,18,20,30,35,51
1174,8,11,14,17,36,39,50
1175,3,4,6,8,32,42,49
1176,7,9,11,21,30,35,48
1177,3,7,15,16,19,43,47
1178,5,6,11,27,43,44,46
1179,3,16,18,24,40,44,45
1180,6,12,18,37,40,41,44
1181,8,10,14,20,33,41,43
1182,1,13,21,25,28,31,42
1183,4,15,17,23,27,36,41
1184,14,16,23,25,31,37,40
1185,6,17,22,28,29,32,39
1186,2,8,13,16,23,28,38
1187,5,13,26,29,37,40,37
1188,3,4,12,19,22,27,36
1189,9,19,29,35,37,38,35
1190,7,9,19,23,26,45,34
1191,1,4,11,12,20,41,33
1192,10,16,23,36,39,40,32
1193,6,9,16,19,24,28,31
1194,3,13,15,24,33,37,30
1195,3,15,27,33,34,36,29
1196,8,12,15,29,40,45,28
1197,1,5,7,26,28,43,27
1198,26,30,33,38,39,41,26
1199,16,24,25,30,31,32,25
1200,1,2,4,16,20,32,24
1201,7,9,24,27,35,36,23
1202,5,12,21,33,37,40,22
1203,3,6,18,29,35,39,21
1204,8,16,28,30,31,44,20
1205,1,4,16,23,31,41,19
1206,1,3,17,26,27,42,18
1207,10,22,24,27,38,45,17
1208,6,27,30,36,38,42,16
1209,2,17,20,35,37,39,15
1210,1,7,9,17,27,38,14
1211,23,26,27,35,38,40,13
1212,5,8,25,31,41,44,12
1213,5,11,25,27,36,38,11
1214,10,15,19,27,30,33,10
1215,13,15,19,21,44,45,9
1216,3,10,14,15,23,24,8
1217,8,10,15,20,29,31,7
1218,3,28,31,32,42,45,6
1219,1,2,15,28,39,45,5
1220,2,22,25,28,34,43,4
1221,6,13,18,28,30,36,3
1222,4,11,17,22,32,41,2
1223,16,18,20,32,33,39,1
1224,9,18,21,27,44,45,0
