number,master_score,current_gap,gap_bucket,average_gap,score_skip_hit_recent50,score_skip_hit_recent100,score_drawings_since_hit,score_skips_due,score_hot_20,score_hot_50,score_frequency_trend,score_number_group_recovery,score_last_digit_recovery,score_multiple_hit_neighbor,score_python_base,rank
10,0.7652969169198002,18,17+,6.9,1.0,1.0,0.9555555555555556,1.0,0.3333333333333333,0.25,0.45454545454545453,0.4,0.8888888888888888,0.75,0.9909994722283046,1
23,0.7004659132874794,19,17+,6.909090909090909,1.0,1.0,0.9777777777777777,1.0,0.16666666666666666,0.375,0.5454545454545454,0.4,0.4444444444444444,0.35,0.8166288298444907,2
5,0.6705085826481592,22,17+,8.35,1.0,1.0,1.0,1.0,0.0,0.25,0.45454545454545453,0.4,0.2222222222222222,0.75,0.665338351734117,3
27,0.6116459936347416,11,11-16,5.15625,0.3040505465717787,0.5832719671460411,0.8666666666666667,1.0,0.16666666666666666,1.0,0.5454545454545454,0.4,1.0,0.35,0.9312000156752029,4
16,0.6049613135530351,8,6-10,5.0606060606060606,0.5570763087843832,0.5128373223504733,0.7666666666666667,1.0,0.3333333333333333,0.75,0.5454545454545454,0.0,0.8888888888888888,0.75,0.6282303765599062,5
41,0.5829483960033822,8,6-10,8.136363636363637,0.5570763087843832,0.5128373223504733,0.7666666666666667,0.819366852886406,0.5,0.5,0.7272727272727273,1.0,0.2222222222222222,0.35,0.4538198399663741,6
44,0.5821315945480663,7,6-10,6.846153846153846,0.5570763087843832,0.5128373223504733,0.7222222222222222,0.852059925093633,0.5,0.375,0.45454545454545453,1.0,0.11111111111111116,0.75,0.5576791858292515,7
30,0.581637833665797,7,6-10,4.852941176470588,0.5570763087843832,0.5128373223504733,0.7222222222222222,1.0,0.3333333333333333,0.5,0.45454545454545453,0.4,0.8888888888888888,0.35,0.7521672948592434,8
26,0.5764645366288601,9,6-10,5.857142857142857,0.5570763087843832,0.5128373223504733,0.8111111111111111,1.0,0.16666666666666666,0.5,0.5454545454545454,0.4,0.8888888888888888,0.35,0.7054848295403797,9
28,0.5752101750143318,5,3-5,5.0,0.1921799374929295,0.26158190306008505,0.6,0.8333333333333334,1.0,0.875,0.7272727272727273,0.4,0.2222222222222222,0.35,1.0,10
45,0.5724591969140026,11,11-16,5.793103448275862,0.3040505465717787,0.5832719671460411,0.8666666666666667,1.0,0.5,0.5,0.6363636363636364,1.0,0.2222222222222222,0.35,0.5621603312960958,11
33,0.5346635446562891,12,11-16,5.1875,0.3040505465717787,0.5832719671460411,0.9222222222222223,1.0,0.16666666666666666,0.375,0.45454545454545453,0.5333333333333333,0.4444444444444444,0.35,0.8763250208401729,12
29,0.5233954942537699,6,6-10,7.16,0.5570763087843832,0.5128373223504733,0.6777777777777778,0.6983240223463687,0.5,0.5,0.45454545454545453,0.4,0.4444444444444444,0.35,0.5110846828618767,13
32,0.5199326825400801,12,11-16,5.793103448275862,0.3040505465717787,0.5832719671460411,0.9222222222222223,1.0,0.5,0.25,0.36363636363636365,0.5333333333333333,0.0,0.35,0.7906325612942446,14
15,0.5084590486268713,0,0,5.9655172413793105,0.5218872954965376,0.3388954542554931,0.07777777777777778,0.0,1.0,1.0,0.6363636363636364,0.0,0.2222222222222222,1.0,0.6083181021396539,15
17,0.4964661534846262,9,6-10,7.521739130434782,0.5570763087843832,0.5128373223504733,0.8111111111111111,0.9971098265895955,0.3333333333333333,0.25,0.2727272727272727,0.0,1.0,0.35,0.3437727327859595,16
34,0.4849429166392939,6,6-10,6.76,0.5570763087843832,0.5128373223504733,0.6777777777777778,0.7396449704142012,0.5,0.125,0.36363636363636365,0.5333333333333333,0.11111111111111116,0.35,0.5528960876567907,17
3,0.4661398726473622,5,3-5,4.628571428571429,0.1921799374929295,0.26158190306008505,0.6,0.9002057613168724,0.5,0.625,0.36363636363636365,0.4,0.4444444444444444,0.35,0.7355970137414526,18
42,0.45923205937032546,5,3-5,8.428571428571429,0.1921799374929295,0.26158190306008505,0.6,0.4943502824858757,0.6666666666666666,0.375,0.36363636363636365,1.0,0.0,0.75,0.6067588195914382,19
6,0.4363419299450096,0,0,4.368421052631579,0.5218872954965376,0.3388954542554931,0.07777777777777778,0.0,0.5,0.375,0.2727272727272727,0.4,0.8888888888888888,1.0,0.6047226728967946,20
8,0.43402412218835396,5,3-5,7.913043478260869,0.1921799374929295,0.26158190306008505,0.6,0.5265567765567766,0.5,0.5,0.36363636363636365,0.4,0.2222222222222222,0.75,0.6444698080705581,21
7,0.4208206750756763,0,0,4.75,0.5218872954965376,0.3388954542554931,0.07777777777777778,0.0,0.3333333333333333,0.375,0.09090909090909091,0.4,1.0,1.0,0.7060757807691181,22
38,0.41999566051417103,4,3-5,5.088235294117647,0.1921799374929295,0.26158190306008505,0.4888888888888889,0.6551059730250482,0.16666666666666666,0.625,0.36363636363636365,0.5333333333333333,0.2222222222222222,0.75,0.6657902785985559,23
13,0.408481266772602,4,3-5,5.40625,0.1921799374929295,0.26158190306008505,0.4888888888888889,0.6165703275529865,0.6666666666666666,0.625,0.6363636363636364,0.0,0.4444444444444444,0.35,0.35218192826758543,24
21,0.40401696218360506,11,11-16,5.62962962962963,0.3040505465717787,0.5832719671460411,0.8666666666666667,1.0,0.16666666666666666,0.0,0.0,0.4,0.2222222222222222,0.35,0.48016222641636314,25
39,0.3956008959019929,0,0,8.904761904761905,0.5218872954965376,0.3388954542554931,0.07777777777777778,0.0,0.5,0.5,0.36363636363636365,0.5333333333333333,0.4444444444444444,1.0,0.1668072819615768,26
9,0.3943942087437617,5,3-5,6.923076923076923,0.1921799374929295,0.26158190306008505,0.6,0.6018518518518519,0.5,0.625,0.45454545454545453,0.4,0.4444444444444444,0.35,0.18409622955019136,27
43,0.39146126431724215,0,0,9.722222222222221,0.5218872954965376,0.3388954542554931,0.07777777777777778,0.0,0.5,0.125,0.45454545454545453,1.0,0.4444444444444444,1.0,0.07268369338679737,28
22,0.38799849748805054,3,3-5,6.428571428571429,0.1921799374929295,0.26158190306008505,0.3888888888888889,0.3888888888888889,0.6666666666666666,0.375,0.5454545454545454,0.4,0.0,0.35,0.6844488813028444,29
24,0.3696973552404412,3,3-5,6.214285714285714,0.1921799374929295,0.26158190306008505,0.3888888888888889,0.40229885057471265,0.5,0.625,0.6363636363636364,0.4,0.11111111111111116,0.35,0.32909332786192974,30
36,0.367324057435348,3,3-5,6.444444444444445,0.1921799374929295,0.26158190306008505,0.3888888888888889,0.3879310344827586,0.3333333333333333,0.5,0.5454545454545454,0.5333333333333333,0.8888888888888888,0.35,0.1873596531896123,31
4,0.3656163876873757,4,3-5,7.380952380952381,0.1921799374929295,0.26158190306008505,0.4888888888888889,0.45161290322580644,0.5,0.5,0.6363636363636364,0.4,0.11111111111111116,0.35,0.24883241021039987,32
